Start Date,Year,Cycle,ENL,RES
3/24/2020 18:00:00,2020,12,15000,908000
4/1/2020 1:00:00,2020,13,1800,921000
4/8/2020 8:00:00,2020,14,199,914000
4/15/2020 15:00:00,2020,15,981,1200000
4/22/2020 22:00:00,2020,16,0,1700000
4/30/2020 5:00:00,2020,17,27000,1500000
5/7/2020 12:00:00,2020,18,1800,1300000
5/14/2020 19:00:00,2020,19,74000,1100000
5/22/2020 2:00:00,2020,20,57000,609000
5/29/2020 9:00:00,2020,21,10000,738000
6/5/2020 16:00:00,2020,22,9400,1100000
6/12/2020 23:00:00,2020,23,3500,535000
6/20/2020 6:00:00,2020,24,4900,541000
6/27/2020 13:00:00,2020,25,61000,525000
7/4/2020 20:00:00,2020,26,58000,1000000
7/12/2020 3:00:00,2020,27,29000,3900000
7/19/2020 10:00:00,2020,28,53000,381000
7/26/2020 17:00:00,2020,29,33000,544000
8/3/2020 0:00:00,2020,30,64000,411000
8/10/2020 7:00:00,2020,31,64000,856000
8/17/2020 14:00:00,2020,32,99000,385000
8/24/2020 21:00:00,2020,33,81000,638000
9/1/2020 4:00:00,2020,34,21000,6500000
9/8/2020 11:00:00,2020,35,44000,707000
9/15/2020 18:00:00,2020,36,49000,2500000
9/23/2020 1:00:00,2020,37,19000,1900000
9/30/2020 8:00:00,2020,38,62000,9300000
10/7/2020 15:00:00,2020,39,25000,16000000
10/14/2020 22:00:00,2020,40,41000,4700000
10/22/2020 5:00:00,2020,41,116000,2600000
10/29/2020 12:00:00,2020,42,141000,2400000
11/5/2020 19:00:00,2020,43,131000,4600000
11/13/2020 2:00:00,2020,44,94000,5000000
11/20/2020 9:00:00,2020,45,79000,862000
11/27/2020 16:00:00,2020,46,176000,1800000
12/4/2020 23:00:00,2020,47,168000,1400000
12/12/2020 6:00:00,2020,48,139000,1100000
12/19/2020 13:00:00,2020,49,62000,1700000
12/26/2020 20:00:00,2020,50,103000,2200000
1/3/2021 3:00:00,2021,01,120000,406000
1/10/2021 10:00:00,2021,02,102000,864000
1/17/2021 17:00:00,2021,03,101000,692000
1/25/2021 0:00:00,2021,04,104000,353000
2/1/2021 7:00:00,2021,05,133000,292000
2/8/2021 14:00:00,2021,06,104000,1500000
2/15/2021 21:00:00,2021,07,45000,4500000
2/23/2021 4:00:00,2021,08,2000,4900000
3/2/2021 11:00:00,2021,09,5600,3000000
3/9/2021 18:00:00,2021,10,15000,813000
3/17/2021 1:00:00,2021,11,35000,1600000
3/24/2021 8:00:00,2021,12,37000,1400000
3/31/2021 15:00:00,2021,13,44000,2000000
4/7/2021 22:00:00,2021,14,23000,6400000
4/15/2021 5:00:00,2021,15,3700,8300000
4/22/2021 12:00:00,2021,16,49000,5600000
4/29/2021 19:00:00,2021,17,52000,8400000
5/7/2021 2:00:00,2021,18,16000,8000000
5/14/2021 9:00:00,2021,19,22000,6900000
5/21/2021 16:00:00,2021,20,78000,5900000
5/28/2021 23:00:00,2021,21,36000,2000000
6/5/2021 6:00:00,2021,22,13000,2500000
6/12/2021 13:00:00,2021,23,11000,1500000
6/19/2021 20:00:00,2021,24,4600,1300000
6/27/2021 3:00:00,2021,25,905,1300000
7/4/2021 10:00:00,2021,26,273,1300000
7/11/2021 17:00:00,2021,27,5800,1100000
7/19/2021 0:00:00,2021,28,14000,1000000
7/26/2021 7:00:00,2021,29,46000,1900000
8/2/2021 14:00:00,2021,30,25000,610000
8/9/2021 21:00:00,2021,31,10000,1400000
8/17/2021 4:00:00,2021,32,6400,2200000
8/24/2021 11:00:00,2021,33,2200,645000
8/31/2021 18:00:00,2021,34,4300,720000
9/8/2021 1:00:00,2021,35,53000,737000
9/15/2021 8:00:00,2021,36,66000,3300000
9/22/2021 15:00:00,2021,37,80000,4700000
9/29/2021 22:00:00,2021,38,55000,5400000
